State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Sex Ratio,Literacy Rate,Male Literacy Rate,Female Literacy Rate
Bihar,Supaul,26.28157893772896,86.78496465201461,2229076,1155283,1073793,1033283,647672,385611,354249,10168,1809936,409251,3758,271,136,546,42,5136,572287,27815,269737,157787,99530,69665,45726,1453438,495020,277610,3008,7736,46159,53895,53452,223470,80317,108,46,56,36
Bihar,Vaishali,25.8134703180212,85.39247597173153,3495021,1844535,1650486,1926740,1152576,774164,738031,2274,3152346,333980,2203,707,362,246,71,5106,699317,51494,487594,370247,291392,178320,124448,2176701,759132,486032,73156,10568,51344,61912,61291,285265,101129,112,55,62,47
Chandigarh,Chandigarh,30.7426,76.75872465753424,1055450,580663,474787,805438,465346,340092,199086,0,852574,51447,8720,138329,1160,1960,246,1014,8911,289456,118667,114209,124707,98786,174528,602411,303748,148945,346,15220,24396,39616,36024,144460,64040,122,76,80,72
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,1413199,698487,714712,650863,382335,268528,37963,931780,1277975,12413,27951,2099,985,3466,86925,1385,316425,54894,178766,139330,60936,57413,32895,864272,358157,189569,1201,14805,39505,54310,45757,161211,58138,98,46,55,38
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,381956,192764,189192,287620,155599,132021,98989,10693,371973,6984,236,2387,113,10,7,246,152458,11987,59489,53515,64730,45695,25474,193671,107367,80497,421,3819,6685,10504,9924,46905,21119,102,75,81,70
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,2663629,1351574,1312055,1596560,932474,664086,552992,498469,2540763,57973,20745,6373,2979,2357,29122,3317,549632,188174,407692,337793,189296,152838,134637,1625484,655032,380114,2999,36885,84460,121345,88162,321189,118976,103,60,69,51
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,381956,192764,189192,287620,155599,132021,98989,10693,371973,6984,236,2387,113,10,7,246,152458,11987,59489,53515,64730,45695,25474,193671,107367,80497,421,3819,6685,10504,9924,46905,21119,102,75,81,70
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,2663629,1351574,1312055,1596560,932474,664086,552992,498469,2540763,57973,20745,6373,2979,2357,29122,3317,549632,188174,407692,337793,189296,152838,134637,1625484,655032,380114,2999,36885,84460,121345,88162,321189,118976,103,60,69,51
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,799781,397897,401884,546833,303924,242909,58581,207633,777188,10425,2644,1196,667,3612,3685,364,168689,41792,148544,120146,65196,58875,31319,461125,213021,125429,206,9725,17441,27166,19469,92059,35418,99,68,76,60
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,3343872,1682101,1661771,2303378,1284612,1018766,458040,397416,3129745,83499,24304,24276,19587,17209,42569,2683,533448,349741,573291,497668,309508,286244,202424,1919832,898241,523656,2143,34096,69172,103268,82012,375703,148385,101,69,76,61
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,851669,424747,426922,495415,280656,214759,48844,530378,629509,15336,189588,474,467,694,14835,766,205670,20722,137681,127299,64188,50562,26161,488965,214455,148100,149,9440,24667,34107,26333,99333,36438,99,58,66,50
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,1206640,612915,593725,748759,433391,315368,124679,493559,1133176,30195,21059,3666,897,753,15649,1245,206598,126055,188303,168387,89167,83166,61215,729708,309479,166959,494,17260,37958,55218,42526,153186,58842,103,62,71,53
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,658917,334737,324180,397823,229923,167900,54776,304280,604259,25878,9398,1391,84,1155,15474,1278,121852,59763,109639,87969,47127,38677,26802,399581,165022,94073,241,9604,22348,31952,23034,81771,30622,103,60,69,52
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,1032754,511967,520787,637963,364089,273874,139581,279896,1008061,12570,5284,2941,521,1495,1417,465,274793,35774,194739,152183,78583,57949,33357,582544,272009,177826,375,16490,38904,55394,37513,143728,58094,98,62,71,53
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,1493984,750278,743706,951639,542756,408883,224942,505609,1422986,17332,47653,2117,781,409,1782,924,354278,66638,260661,210964,130700,93340,66358,841958,398257,253488,281,26345,59487,85832,57004,200941,79603,101,64,72,55
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,2634200,1344345,1289855,1939994,1059692,880302,134952,305125,2239370,227465,17452,7477,121791,12260,1159,7226,581868,377160,407662,335886,441072,221410,204507,1414154,748339,462741,8966,32108,68582,100690,94793,362797,157065,104,74,79,68
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,1493984,750278,743706,951639,542756,408883,224942,505609,1422986,17332,47653,2117,781,409,1782,924,354278,66638,260661,210964,130700,93340,66358,841958,398257,253488,281,26345,59487,85832,57004,200941,79603,101,64,72,55
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,2634200,1344345,1289855,1939994,1059692,880302,134952,305125,2239370,227465,17452,7477,121791,12260,1159,7226,581868,377160,407662,335886,441072,221410,204507,1414154,748339,462741,8966,32108,68582,100690,94793,362797,157065,104,74,79,68
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,4063872,2048186,2015686,2629749,1493158,1136591,724250,476446,3881485,103038,23181,16707,8397,17137,10680,3247,673499,395001,664470,552373,313247,267265,227382,2454299,1038155,560184,11234,42202,100127,142329,114073,462395,175768,102,65,73,56
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,2359886,1193129,1166757,1187941,694686,493255,115652,1300628,2126195,81442,97432,2303,1287,623,48295,2309,525596,65167,338509,281260,135374,105992,64607,1441436,561915,355077,1458,26048,74481,100529,71885,270986,99309,102,50,58,42
Dadra and Nagar Haveli,Dadra And Nagar Haveli,20.215132170542628,73.09454961240311,343709,193760,149949,223230,142521,80709,6186,178564,322857,12922,5113,217,634,1186,293,487,48221,60562,69140,32004,37809,22700,19655,225103,87888,30346,372,4312,9524,13836,11879,39654,15845,129,65,74,54
Daman and Diu,Daman,20.431616666666677,72.8392366071429,191173,124659,66514,150348,104316,46032,4262,15240,171537,16087,2618,169,216,244,79,223,10006,61073,28094,30406,26991,14170,9128,122589,52868,15428,288,3397,8211,11608,10433,30398,12523,187,79,84,69
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,2743082,1404356,1338726,1842818,1046981,795837,265793,55571,2397056,334858,2586,1110,1291,3841,77,2263,489237,287506,700258,294811,311849,137505,139957,1527888,749156,461650,4388,15483,42703,58186,55458,276859,112463,105,67,75,59
Gujarat,Junagadh,20.929523011609785,70.54733890140345,2743082,1404356,1338726,1842818,1046981,795837,265793,55571,2397056,334858,2586,1110,1291,3841,77,2263,489237,287506,700258,294811,311849,137505,139957,1527888,749156,461650,4388,15483,42703,58186,55458,276859,112463,105,67,75,59
Goa,North Goa,15.548723418714054,73.80667997909038,818008,416677,401331,663060,351738,311322,17606,56606,622213,57941,134169,618,553,546,166,1802,115859,209230,101521,148792,153887,87513,86781,380926,260533,175035,1514,9322,19791,29113,33201,114062,48962,104,81,84,78
Goa,South Goa,15.195278658183785,73.941792596877,640537,322463,318074,502427,264085,238342,7843,92669,341664,63623,231961,855,542,563,92,1237,88620,162873,73039,119869,108989,64786,57460,314480,194872,130605,580,7659,16552,24211,26670,90673,38349,101,78,82,75
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,7214225,3788051,3426174,5435760,3025463,2410297,759483,89138,6042416,883238,50754,14542,4518,209287,2055,7415,353169,1845383,1614370,805199,1135058,549188,839295,3952858,2043895,1198152,19320,50790,131943,182733,210889,880951,375703,111,75,80,70
Gujarat,Amreli,21.04832649310872,71.43457637825426,1514190,771049,743141,995459,558180,437279,132915,7322,1410463,99105,919,415,243,2053,40,952,313714,116899,412251,120625,149478,66785,50999,836343,389892,282409,5546,9403,31254,40657,27345,138082,51661,104,66,72,59
Gujarat,Anand,22.282718206229863,72.57782051557454,2092745,1087224,1005521,1551253,874481,676772,104465,24824,1798794,250919,29789,1524,267,8591,142,2719,413078,208909,560542,229013,283571,127459,110351,1134962,585093,366419,6271,18243,39860,58103,52344,231623,94775,108,74,80,67
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,3120506,1610379,1510127,1704923,1048402,656521,327460,284155,2890305,213505,1686,486,281,12659,83,1501,666773,137424,859436,159433,226765,105372,66950,1984701,738412,394793,2600,12201,33643,45844,47925,260512,96516,107,55,65,43
Gujarat,Bharuch,21.75787276237761,72.67326346710801,1551019,805707,745312,1118276,623047,495229,62235,488194,1188204,343511,9494,1733,442,4813,342,2480,300677,181319,367060,164765,188539,83895,74380,844298,442523,254728,9470,15944,34619,50563,45366,190910,78625,108,72,77,66
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,2880365,1490201,1390164,1887255,1087371,799884,157034,9110,2632574,212863,3457,1410,445,26974,127,2515,387251,356826,929286,266953,281250,96241,93391,1708938,720241,445121,6065,16604,48849,65453,48541,253095,93364,107,66,73,58
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,1391753,723864,667889,1030494,582686,447808,108608,18204,1319586,57273,3237,1985,497,6405,82,2688,237624,195634,363156,133594,196456,95730,108400,769329,391862,224886,5676,11995,25521,37516,35462,163534,69002,108,74,80,67
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,2160119,1114192,1045927,1396534,795140,601394,173895,24187,1810443,320805,4392,1873,1086,18856,136,2528,347158,299167,491009,194057,199634,74029,87523,1220598,576319,358455,4747,13674,39434,53108,50008,225160,90161,107,65,71,57
Gujarat,Kachchh,23.48057203301311,68.82192301497916,2092371,1096737,995634,1252319,739239,513080,258859,24228,1608921,442355,6192,6353,490,25312,98,2650,488293,250982,469402,141345,157284,61366,60386,1278604,524052,286086,3629,25293,53172,78465,60591,229277,87578,110,60,67,52
Gujarat,Kheda,22.88765312500002,73.018803515625,2299885,1185727,1114158,1660243,942480,717763,115631,40336,2000884,264482,26629,1403,300,3479,82,2626,461479,160547,641541,250044,310341,148530,84223,1260660,628221,388646,22358,19249,42567,61816,52793,244695,99926,106,72,79,64
Gujarat,Mahesana,23.529355452865065,72.45545194085031,2035064,1056520,978544,1502645,847499,655146,162288,9392,1885732,136431,1954,1082,146,7087,88,2544,476005,183738,467128,183468,266108,139208,130723,1119451,554432,357578,3603,18735,40893,59628,47276,232736,95739,108,74,80,67
Gujarat,Narmada,21.70666386292833,73.68403208722742,590297,301086,289211,370336,211767,158569,8733,481392,559848,22600,4413,147,80,373,2078,758,138121,22248,146661,58188,52687,28396,14748,336830,157910,93466,2091,5372,13957,19329,13858,62416,23725,104,63,70,55
Gujarat,Navsari,20.866973318871995,72.86184869848157,1329672,678165,651507,1001909,539471,462438,35464,639659,1225087,78669,5733,2459,601,13386,2823,914,267739,141417,266733,140235,190861,112460,85041,673014,390349,258957,7352,13415,29950,43365,41648,177608,78432,104,75,80,71
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,2390776,1226961,1163815,1440805,858054,582751,100446,721604,2220974,158513,2863,662,337,5236,131,2060,463363,104238,601358,205420,283648,139773,71810,1421859,599925,363391,5601,16379,37573,53952,43567,206091,78388,105,60,70,50
Gujarat,Patan,23.80634198473284,71.75162977099237,1343734,694397,649337,837913,494631,343282,123408,13303,1194745,142797,916,337,66,3602,66,1205,301483,102655,364667,78731,129584,57494,46355,786357,341381,213465,2531,10572,24509,35081,28077,135333,51706,107,62,71,53
Gujarat,Porbandar,21.55092351651571,69.71896987722886,585449,300209,285240,393678,221621,172057,51830,13039,549749,33565,500,248,91,515,38,743,96015,87557,150643,71637,63458,25119,22458,314886,163777,105638,1148,5244,12192,17436,15729,71173,29784,105,67,74,60
Gujarat,Rajkot,22.40603377715488,70.83679439383323,3804558,1974445,1830113,2725056,1514075,1210981,290169,24017,3397406,361388,5478,1918,1170,33591,269,3338,459474,721532,913928,402240,540278,204306,266295,2080568,1052871,659576,11543,24044,70528,94572,100983,446694,189220,108,72,77,66
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,2428589,1244231,1184358,1578734,918625,660109,187685,542156,2260560,148563,6375,614,168,11110,52,1147,544024,121509,597667,211423,333650,198963,110817,1393131,630963,400905,3590,17669,39155,56824,49284,247442,98430,105,65,74,56
Gujarat,Surat,21.25761372772093,72.93488716344339,6081322,3402224,2679098,4571410,2687468,1883942,158115,856952,5260193,660772,21052,5703,12902,112835,3920,3945,369840,1529998,1332690,807021,896927,433651,379505,3563443,1740746,723415,53718,48229,126211,174440,193437,788695,340984,127,75,79,70
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,1756268,909917,846351,1093626,643221,450405,179461,21453,1620282,109681,1419,512,312,22992,128,942,340788,159810,482679,165406,172947,61164,58389,1033435,439352,280582,2899,13171,33356,46527,32661,166727,64199,108,62,71,53
Gujarat,The Dangs,20.801633877551023,73.6883518367347,228291,113821,114470,140968,77314,63654,992,216073,203545,3593,20029,69,32,39,560,424,52102,7516,59954,17736,14872,7560,3490,146095,51821,30027,348,1167,4199,5366,4086,21667,7676,99,62,68,56
Gujarat,Vadodara,22.26133739279589,73.49433010291594,4165626,2153736,2011890,2893080,1614087,1278993,221629,1149901,3713941,384579,23813,9340,2069,27650,1124,3110,547454,692971,865726,457662,504732,268451,314960,2213474,1190041,733710,28401,35169,87480,122649,124359,502358,212808,107,69,75,64
Gujarat,Valsad,20.44238231644259,72.9148584798345,1705678,887222,818456,1170657,655528,515129,38237,902794,1571147,94034,19661,1589,913,13809,1417,3108,262410,235981,303197,171712,212318,123281,90912,944532,485874,259906,15366,15275,35681,50956,51136,208732,88946,108,69,74,63
Haryana,Ambala,30.3503672316384,76.94970310734456,1128350,598703,529647,818025,461288,356737,296246,0,955096,22143,3705,138202,381,4845,110,3868,175365,139891,170110,161844,163544,97980,91472,617859,308126,201685,680,5230,13528,18758,22812,120894,51168,113,72,77,67
Haryana,Bhiwani,28.728868064516128,76.02110225806452,1634445,866672,767773,1069871,643158,426713,341162,0,1611031,15515,873,2401,254,1016,26,3329,357047,99235,223049,198307,218631,148995,104875,964960,405760,261428,2297,5367,16409,21776,30859,175604,75191,113,65,74,56
Haryana,Faridabad,28.14873109756098,77.32718536585368,1809733,966110,843623,1272739,734940,537799,223799,0,1588407,161680,9743,34572,640,4883,249,9559,87700,382981,220384,198551,282666,178846,259933,1095602,481318,231029,1784,10026,24687,34713,42722,201457,84281,115,70,76,64
Haryana,Fatehabad,29.57298318584072,75.54608716814157,942011,495360,446651,557578,327471,230107,284357,0,779243,8360,996,150969,171,1172,530,570,203020,55360,136663,99948,93526,61476,37741,555745,237009,147469,1788,3026,9731,12757,17216,99951,41231,111,59,66,52
Haryana,Gurgaon,28.043894789579163,77.01935130260523,1514432,816690,697742,1111116,638666,472450,197937,0,1408801,70842,9725,15097,944,7451,254,1318,141703,381988,177453,175370,219200,150120,233402,875531,428101,210307,493,15610,33002,48612,48505,189075,81885,117,73,78,68
Haryana,Hisar,29.23628731117825,75.84324682779452,1743931,931562,812369,1114311,670200,444111,408785,0,1701061,21650,1945,12270,334,3620,33,3018,302013,154113,230074,194595,202792,144626,105346,1017830,456536,265109,4456,5846,17116,22962,32391,188751,80345,115,64,72,55
Haryana,Jhajjar,28.59651868131869,76.61137142857145,958405,514667,443738,676091,399480,276611,170448,0,945693,8247,734,1042,105,645,22,1917,211816,78328,109829,115794,145258,97457,58826,549975,245095,162356,979,3807,10084,13891,19716,105616,45175,116,71,78,62
Haryana,Jind,29.45149821958457,76.29598575667653,1334152,713006,621146,832758,502049,330709,282351,0,1276669,23016,889,29103,172,2594,56,1653,278335,89665,185626,151682,154773,107994,64599,784085,335704,213478,885,4228,13046,17274,23783,134056,55033,115,62,70,53
Haryana,Kaithal,29.96068539094649,76.37698930041155,1074304,571003,503301,646529,385782,260747,247513,0,974520,8232,1769,87558,265,351,70,1539,231091,75696,158239,124682,117753,82297,51043,630194,265813,176320,1977,3676,11442,15118,19624,111504,45618,113,60,68,52
Haryana,Karnal,29.703200647249204,76.87488025889972,1505324,797712,707612,978013,564516,413497,339604,0,1341002,31650,2049,126207,532,1516,49,2319,292682,135920,231354,188040,183590,124790,101387,884972,380409,234684,5259,5761,17461,23222,29082,161777,66304,113,65,71,58
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,964655,510976,453679,646893,370828,276065,215128,0,805175,15970,1943,140395,214,375,106,477,203553,88268,145392,118107,120790,81964,71007,552034,250830,160216,1575,3540,11148,14688,18809,104115,43935,113,67,73,61
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,922088,486665,435423,630255,380440,249815,156314,0,913251,5660,301,1737,75,644,15,405,223726,44216,135849,126291,132765,94245,60296,530000,229392,161258,1438,2971,8947,11918,17146,91491,39036,112,68,78,57
Haryana,Panchkula,30.700897142857134,76.97173238095236,561293,299679,261614,405318,229862,175456,101830,0,490702,23451,2583,40951,1008,1626,90,882,70895,93656,73584,60177,69163,48306,83256,309078,157076,93606,1533,4053,9104,13157,14305,65612,28779,115,72,77,67
Haryana,Panipat,29.34352134146342,76.92895914634147,1205437,646857,558580,786599,464136,322463,206213,0,1083936,86622,2261,25064,289,4647,99,2519,173502,153804,170565,143466,141473,91756,75774,739075,298764,167244,354,4783,13209,17992,23156,123573,50265,116,65,72,58
Haryana,Rewari,28.19164714828897,76.55956007604564,900332,474335,425997,636947,375453,261494,182606,0,889133,5713,701,1804,202,1525,12,1242,199449,69305,120860,122617,139646,95807,65143,518747,230704,150557,324,3879,10224,14103,18914,97233,42148,111,71,79,61
Haryana,Rohtak,28.892517647058817,76.53123235294117,1061204,568479,492725,747582,436025,311557,216889,0,1043887,8185,732,3916,200,3491,24,769,175203,131739,150903,140782,168499,109596,100346,605741,269354,185685,424,4261,11498,15759,21602,118044,50316,115,70,77,63
Haryana,Sirsa,29.63583446327684,74.90970480225988,1295189,682582,612607,782897,456968,325929,387381,0,940255,9524,2186,338962,370,2256,624,1012,245476,93316,201349,153263,134559,83373,61620,750228,334344,208185,2432,4202,13126,17328,23790,135060,57070,111,60,67,53
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,519080,261320,257760,323842,186064,137778,111690,135500,479782,32455,1559,2745,1740,57,14,728,186395,13836,96789,67653,64515,40440,15506,306555,130606,81566,353,5229,6765,11994,10046,52526,20811,101,62,71,53
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,454768,217070,237698,358091,180555,177536,109256,3044,449412,3711,243,591,95,293,9,414,196116,15232,71107,72114,91184,64363,35620,224044,123941,106641,142,6218,11549,17767,16803,64353,27573,91,79,83,75
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,1104285,593537,510748,653299,408125,245174,241198,474,1010014,91269,814,196,74,41,273,1604,256081,55300,238344,211029,103334,59914,59612,660774,260368,181109,2034,7811,17299,25110,17595,88512,31830,116,59,69,48
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,454768,217070,237698,358091,180555,177536,109256,3044,449412,3711,243,591,95,293,9,414,196116,15232,71107,72114,91184,64363,35620,224044,123941,106641,142,6218,11549,17767,16803,64353,27573,91,79,83,75
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,1104285,593537,510748,653299,408125,245174,241198,474,1010014,91269,814,196,74,41,273,1604,256081,55300,238344,211029,103334,59914,59612,660774,260368,181109,2034,7811,17299,25110,17595,88512,31830,116,59,69,48
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,1510075,750591,759484,1152640,606443,546197,319385,84564,1461140,19797,3023,8929,14511,194,208,2273,588321,39007,243617,223099,284124,192936,91236,766581,419172,319420,4902,15746,29154,44900,49211,213017,92030,99,76,81,72
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,84121,46249,37872,60699,36697,24002,14750,48746,64732,448,485,249,18086,29,45,47,44514,0,13749,11437,11140,7871,5118,42360,26599,15075,87,2813,2912,5725,2817,9423,3672,122,72,79,63
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,437903,225452,212451,307672,174550,133122,122659,16822,415669,2974,1568,1396,15377,94,83,742,167995,20709,77363,61854,58122,39081,23168,244727,120510,72282,384,6409,8723,15132,11656,53737,23630,106,70,77,63
Himachal Pradesh,Lahul And Spiti,32.51717030651338,77.62470977011492,31564,16588,14976,21845,12897,8948,2235,25707,11649,74,212,35,19572,3,1,18,17434,0,5042,4011,3934,3557,2378,15928,9181,6200,255,1003,621,1624,795,2947,1105,111,69,78,60
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,999777,498065,501712,723747,393669,330078,293739,12787,981412,9460,876,4081,2628,43,86,1191,431129,31696,159043,132147,180188,128549,54139,524285,279321,194661,1510,11117,20457,31574,29022,130468,59385,99,72,79,66
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,814010,425039,388971,612642,342846,269796,215777,8755,791449,11810,2025,4047,3262,185,197,1035,279269,95896,113536,113305,141490,95341,80414,425721,241956,145577,756,14631,18780,33411,25892,102290,44780,109,75,81,69
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,529855,276289,253566,362645,205617,157028,160745,11262,476830,33215,577,15501,2645,236,86,765,171102,21054,100123,78103,67080,38282,23352,310244,136839,82471,301,4217,6645,10862,9085,47460,19481,109,68,74,62
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,580320,308754,271566,428578,244372,184206,164536,25645,548579,14678,1452,13926,574,591,110,410,192787,51509,89407,83992,95232,59363,36803,321533,167168,90808,811,8513,11613,20126,15608,68774,30610,114,74,79,68
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,521173,263692,257481,399715,213281,186434,115491,8601,480138,14275,390,26009,56,70,10,225,185091,20126,87913,81256,105204,60626,32120,273223,142351,105358,241,4431,8047,12478,13184,65541,27689,102,77,81,72
Jammu and Kashmir,Anantnag,33.760272727272735,75.30390606060608,1078692,559767,518925,545532,324417,221115,1826,116006,13180,1057005,1449,6140,55,7,7,849,207067,70666,99059,129174,97121,52407,41570,704145,239988,133519,1040,1542,5158,6700,11464,58558,20510,108,51,58,43
Jammu and Kashmir,Baramula,34.381253757225416,74.76359942196531,1008039,534733,473306,545149,337170,207979,1476,37705,30621,959185,1497,14770,140,29,7,1790,210543,48932,117000,137510,107837,57932,48285,636524,239659,130513,1343,1683,5806,7489,10413,55314,18929,113,54,63,44
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,409936,213641,196295,219083,138620,80463,53408,39216,187621,220614,472,422,21,22,42,722,122267,11350,47350,62719,48359,31416,12647,263576,93189,52744,427,1782,6482,8264,9190,40819,14876,109,53,65,41
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,1529958,813821,716137,1137135,641916,495219,377991,69193,1289240,107489,12104,114272,470,1987,321,4075,254566,248043,185962,253542,261852,159257,146501,816827,435895,275585,1651,6386,20036,26422,39453,193158,81952,114,74,79,69
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,140802,77785,63017,86236,56301,29935,18,122336,10341,108239,604,1171,20126,28,4,289,40370,7774,19083,20874,16938,9826,3077,87532,35561,17488,221,689,834,1523,983,4991,1652,123,61,72,48
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,616435,326109,290326,389204,228499,160705,141224,53307,540063,64234,1828,9551,24,16,2,717,181374,33473,82715,106411,91522,47694,24330,357864,160123,97684,764,2476,7394,9870,12854,67133,26670,112,63,70,55
Jammu and Kashmir,Kupwara,34.59923473684211,74.21587684210526,870354,474190,396164,439654,282823,156831,1048,70352,37128,823286,1700,5600,66,39,13,2522,158438,23226,101642,99947,74948,39709,21751,600759,178435,89679,1481,911,4036,4947,6396,31982,10700,120,51,60,40
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,560440,293064,267376,293958,178326,115632,402,22607,13840,535159,1109,9440,35,6,18,833,147520,21703,54808,73991,67368,40931,31286,342601,137032,80111,696,705,2291,2996,5461,32942,11863,110,52,61,43
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,476835,251899,224936,261724,163333,98391,556,176101,32604,431279,958,11188,83,10,2,711,132139,15269,72024,69219,46062,29517,13962,304979,109818,61334,704,1531,7435,8966,10664,44517,15825,112,55,65,44
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,1236829,651124,585705,748584,431746,316838,1068,8935,42540,1177342,2746,12187,285,74,2,1653,4518,257721,173309,178723,176409,132727,121856,693238,351561,190330,1700,2326,6626,8952,15425,94928,37998,111,61,66,54
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,554985,296784,258201,322354,197543,124811,138569,56309,489044,59771,1962,3418,106,57,235,392,148664,34696,80129,86008,55024,29657,17345,339145,140785,74757,298,1758,4971,6729,8878,47101,17980,115,58,67,48
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,2062330,1072807,989523,1273520,759088,514432,299227,255626,1636460,241451,13730,4174,1890,2045,160524,2056,250312,258452,338861,342646,232434,154076,116396,1261238,510375,282115,8602,10350,28956,39306,41924,203702,78314,108,62,71,52
Jharkhand,Chatra,24.11619945750453,84.93295804701627,1042886,533935,508951,510061,303902,206159,340553,45563,903179,116710,6565,888,35,129,12936,2444,200974,14528,161729,102033,63670,35342,21697,692650,222892,126682,662,3419,13593,17012,15490,75131,25520,105,49,57,41
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,1492073,775022,717051,793538,489837,303701,190036,180962,1165140,302626,6027,143,188,282,16067,1600,257373,64337,266292,190171,96331,54419,43979,944961,338413,205514,3185,4333,18370,22703,25873,122204,46589,108,53,63,42
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,2684487,1405956,1278531,1722204,1014950,707254,437309,233119,2149480,431762,11243,9727,331,1268,77182,3494,258764,405455,501453,449506,305054,186697,107382,1634835,648876,356445,44331,15054,33281,48335,53844,254604,99175,110,64,72,55
Jharkhand,Dumka,24.275006125574265,87.27662450229711,1321442,668514,652928,672409,406275,266134,79614,571077,1044726,106865,86404,234,267,162,78622,4162,303697,23281,229259,149009,69525,38383,25593,799323,324226,196164,1729,8706,28365,37071,38168,147147,56146,102,51,61,41
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,1322784,683575,639209,653476,405161,248315,319946,205874,1104475,194680,17168,123,371,20,4591,1356,272872,19180,195565,147446,87844,46882,28144,860869,284036,177599,280,5076,26987,32063,26314,117461,40088,107,49,59,39
Jharkhand,Giridih,24.30578509874329,86.08710915619386,2445474,1258098,1187376,1253475,783736,469739,325493,238188,1856202,508586,14645,937,650,1503,59218,3733,452564,46886,443980,261309,146464,77540,55122,1597269,533788,312967,1450,5534,22053,27587,29735,156347,53870,106,51,62,40
Jharkhand,Godda,24.8189,87.2941735483871,1313551,677927,635624,604519,376212,228307,115567,279208,937126,289182,37795,97,128,115,47067,2041,276454,15576,190777,126766,79430,47395,30870,820367,308639,183519,1026,6263,23752,30015,30133,123999,45705,107,46,55,36
Jharkhand,Gumla,23.078532948929148,84.55056787479396,1025213,514390,510823,559720,321795,237925,32459,706754,309563,51429,202449,221,531,23,457468,3529,216629,16445,242580,182260,82114,45613,23742,643579,225871,155452,311,5786,13647,19433,18973,81595,28695,101,55,63,47
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,791042,404830,386212,426312,258260,168052,72885,240489,550560,164406,4419,520,118,783,68564,1672,165555,20113,132014,85745,40613,22995,14802,480895,189889,116810,3448,3906,12645,16551,18845,76917,30509,105,54,64,44
