State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Sex Ratio,Literacy Rate,Male Literacy Rate,Female Literacy Rate
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,78690,38775,39915,38449,21599,16850,0,72400,12333,652,37136,36,452,23,27868,190,14503,5215,10487,8852,6213,4510,2330,53752,17922,6960,56,494,1068,1562,1626,6187,2156,97,49,56,42
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,99214,50116,49098,62576,34210,28366,0,69979,27854,2289,18254,69,776,30,49393,549,19497,9524,13713,13968,10937,9498,6540,61993,25334,11802,85,1215,1598,2813,1966,8102,2950,102,63,68,58
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,92076,45318,46758,36606,20258,16348,0,90764,4859,471,51189,43,121,81,34158,1154,18603,1092,15054,12264,6997,4353,2031,64379,20713,6836,148,184,648,832,1247,5358,1898,97,40,45,35
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,145726,76221,69505,83062,48380,34682,0,47410,99020,3846,10684,210,24452,104,7277,133,33599,11372,25179,20643,13070,7612,5180,94890,35493,15195,148,1667,2314,3981,3828,15082,5588,110,57,63,50
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,54080,28053,26027,31849,18087,13762,0,25974,28915,2247,9213,33,2932,19,10393,328,12000,3950,7957,7351,5508,3570,2795,35140,13254,5652,34,926,1038,1964,1399,5222,1975,108,59,64,53
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,83030,41843,41187,54057,29470,24587,0,72911,9551,1482,34402,27,193,13,37085,277,18112,5365,10821,11661,9861,7674,5230,55258,20305,7412,55,960,1225,2185,1636,5721,2058,102,65,70,60
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,176573,89182,87391,121048,65794,55254,0,117216,57027,6148,84397,310,4768,139,22586,1198,20308,30180,21956,21376,20007,17342,13840,120592,43812,11856,313,1943,3138,5081,4629,16296,6373,102,69,74,63
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,49977,29151,20826,26073,17720,8353,0,34811,11842,787,776,1164,34920,72,349,67,10730,2452,4730,4029,2140,1989,1379,30709,13849,5399,20,1194,1203,2397,1580,4886,1777,140,52,61,40
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,111975,57604,54371,47974,29313,18661,0,98372,20682,1103,83361,61,778,43,5325,622,18420,6500,16989,12077,7834,4305,2134,71785,25669,14423,98,944,1418,2362,1989,7974,2960,106,43,51,34
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,35320,18699,16621,18195,10723,7472,0,28468,5261,411,5643,27,2577,7,20967,427,8569,2182,5584,4915,2935,2211,1349,21090,8910,5252,68,795,833,1628,837,2749,934,113,52,57,45
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,83448,41758,41690,45278,24807,20471,0,78323,13474,521,8779,28,297,11,59449,889,14542,4672,16118,15339,10348,8017,4276,56054,20055,7230,109,364,1162,1526,1714,6935,2530,100,54,59,49
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,83947,46155,37792,48492,29566,18926,0,46380,31265,1970,8466,328,36087,71,5556,204,17889,6306,10317,8428,5633,3987,2693,53026,22362,8493,66,1439,1689,3128,2447,8509,3294,122,58,64,50
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,112274,58168,54106,64746,36777,27969,0,92783,15881,2218,29969,577,3311,49,60005,264,22272,8503,17675,15908,11441,8418,6030,70415,28305,13469,85,1017,1395,2412,1944,8169,2896,108,58,63,52
Assam,Barpeta,26.427872264631056,90.97912010178116,1693622,867004,826618,897058,499038,398020,95320,27344,492966,1198036,1020,112,49,399,14,1026,447189,52192,307884,300845,121924,87377,46947,1072312,405046,215355,909,8117,23690,31807,47692,190552,74238,105,53,58,48
Assam,Bongaigaon,26.45012521994133,90.6734296187684,738804,375818,362986,434078,237114,196964,82784,18835,359145,371033,5924,384,236,871,9,1202,181923,38470,138294,133643,55924,35491,20221,458796,184849,94939,220,4790,10961,15751,23471,85826,34496,104,59,63,54
Assam,Cachar,24.815570668693017,92.86849650455927,1736617,886284,850333,1174128,639946,534182,264897,17569,1038985,654816,37635,280,341,1673,98,2789,346227,88933,447993,379469,156156,79766,45341,1048990,444899,241776,952,16072,40838,56910,61055,203831,76457,104,68,72,63
Assam,Darrang,26.58463215962442,92.04141338028155,928500,475273,453227,487039,268666,218373,40260,8419,327322,597392,1688,431,57,724,19,867,268517,20189,163277,161153,59039,47398,22267,583436,226525,118102,437,5759,13648,19407,28435,106839,42950,105,52,57,48
Assam,Dhemaji,27.586533438485816,94.71336908517353,686133,351249,334884,423028,237761,185267,44225,325560,655052,13475,8711,297,911,167,6315,1205,211758,16504,138838,136371,80804,55399,28006,434221,169630,82051,231,2272,6031,8303,14583,69390,27022,105,62,68,55
Assam,Dibrugarh,27.30612284482757,95.0998282327587,1326335,676434,649901,884531,491361,393170,58876,102871,1198401,64526,52968,2261,4673,1055,46,2405,299852,77163,243607,301287,139813,89500,59380,767147,371864,186774,550,7689,20405,28094,40321,161208,65072,104,67,73,60
Assam,Goalpara,26.017277777777807,90.59869891598912,1008183,513292,494891,563577,304302,259275,45094,231570,347878,579929,77862,771,194,477,103,969,228610,39504,213510,183904,73683,39885,18294,650509,239831,117427,416,5075,13846,18921,28639,108374,42030,104,56,59,52
Assam,Golaghat,26.377219709794485,93.82583397823468,1066888,543161,523727,721764,396475,325289,62298,111765,917426,90312,50582,1131,3863,530,1347,1697,292893,34190,223902,261192,111145,66197,36887,629153,289085,148244,406,6011,16114,22125,36345,137370,55653,104,68,73,62
